,R&D Spend,Administration,Marketing Spend,Profit Actual,Profit Predicted,Difference
0,9316.0,111832.9249,86754.28662,56991.47755,57417.19907305855,-425.7215230585498
1,110481.0,126773.4329,281952.4304,143415.8641,143280.56992268018,135.2941773198254
2,55700.0,118683.1253,176252.3413,96616.9285,96785.42517394028,-168.49667394028802
3,113736.0,127254.1462,288232.9618,146196.5825,146043.2375620802,153.34493791978457
4,19561.0,113345.9532,225622.4454004303,65743.69265,71855.90137485086,-6112.2087248508615
5,155679.0,133448.4795,369162.0948,182028.1255,181642.18347470998,385.9420252900163
6,147916.0,132302.0043,354183.3651,175396.2616,175053.3696764367,342.89192356329295
7,113132.0,127164.9447,287067.5421,145680.5905,145530.5950862018,149.99541379819857
8,46177.0,117276.7253,157877.6868,88481.51178,88702.81873235872,-221.30695235871826
9,17303.0,113012.4814,102165.2249,63814.70273,64196.13193572502,-381.42920572502044
10,153606.0,133142.3294,365162.2357,180257.1795,179882.73339444667,374.446105553332
11,59551.0,119251.8585,183682.8563,99906.80457000001,100053.94532597934,-147.1407559793297
12,32892.0,115314.73599999999,132244.24300000002,77132.25091,77427.23051607098,-294.97960607097775
13,14469.0,112593.9434,96697.01419,61393.64099,61790.78628248695,-397.1452924869518
14,38772.0,116183.1212,143589.7191,82155.48418,82417.85593693021,-262.3717569302098
15,137388.0,130747.1813,333869.5604,166402.282,166117.77368949098,284.5083105090307
16,86530.0,123236.2402,235738.9105,122954.7315,122952.25879127996,2.472708720029914
17,149129.0,132481.1456,356523.8519,176432.517,176082.89835885313,349.61864114686614
18,120844.0,128303.888,301947.8672,152268.8856,152076.12284885912,192.76275114089367
19,34384.0,115535.0813,135123.0611,78406.85364,78693.55928349178,-286.70564349177585
20,89706.0,123705.2863,241867.0112,125667.9609,125647.87551857517,20.085381424840307
21,105465.0,126032.6472,272274.0447,139130.7386,139023.26088943414,107.47771056587226
22,80380.0,122327.9801,223872.4687,117700.8395,117732.47200492895,-31.6325049289444
23,78261.0,122015.0366,219783.8524,115890.5961,115933.97960823822,-43.38350823822839
24,103813.0,125788.6723,269086.5062,137719.4492,137621.13279672834,98.31640327165951
25,99011.0,125079.4911,259821.0341,133617.1421,133545.45536934747,71.68673065252369
26,125783.0,129033.302,311477.6812,156488.2307,156268.07845386904,220.15224613095052
27,126763.0,129178.0329,313368.5938,157325.4362,157099.84935141518,225.58684858481865
28,132796.0,130069.0138,325009.2838,162479.376,162220.33288394444,259.0431160555454
29,43245.0,116843.7142,152220.3848,85976.72948,86214.29598849292,-237.56650849292055
